time,river_level (m)
2022-11-13 15:54:58+00:00,1.305
2022-11-13 16:55:00+00:00,1.305
2022-11-13 17:54:59+00:00,1.305
2022-11-13 18:55:17+00:00,1.305
2022-11-13 19:55:02+00:00,1.305
2022-11-13 20:54:57+00:00,1.305
2022-11-13 21:55:03+00:00,1.305
2022-11-13 22:55:00+00:00,1.305
2022-11-13 23:55:02+00:00,1.305
2022-11-14 00:55:00+00:00,1.305
2022-11-14 01:55:00+00:00,1.305
2022-11-14 02:55:01+00:00,1.305
2022-11-14 03:55:09+00:00,1.305
2022-11-14 04:55:04+00:00,1.305
2022-11-14 05:55:47+00:00,1.305
2022-11-14 06:56:03+00:00,1.305
2022-11-14 07:56:01+00:00,1.305
2022-11-14 08:56:04+00:00,1.305
2022-11-14 09:56:03+00:00,1.305
2022-11-14 10:56:01+00:00,1.305
2022-11-14 11:56:02+00:00,1.305
2022-11-14 12:56:01+00:00,1.305
2022-11-14 13:56:02+00:00,1.305
2022-11-14 14:56:01+00:00,1.305
2022-11-14 15:56:02+00:00,1.305
2022-11-14 16:56:01+00:00,1.305
2022-11-14 17:56:03+00:00,1.305
2022-11-14 18:56:45+00:00,1.305
2022-11-14 19:57:01+00:00,1.305
2022-11-14 20:57:03+00:00,1.305
2022-11-14 21:57:04+00:00,1.305
2022-11-14 22:57:03+00:00,1.305
2022-11-14 23:57:04+00:00,1.305
2022-11-15 00:57:04+00:00,1.305
2022-11-15 01:57:03+00:00,1.305
2022-11-15 02:57:05+00:00,1.305
2022-11-15 03:57:03+00:00,1.305
2022-11-15 04:57:03+00:00,1.305
2022-11-15 05:57:03+00:00,1.305
2022-11-15 06:57:03+00:00,1.305
2022-11-15 07:57:02+00:00,1.305
2022-11-15 08:57:13+00:00,1.305
2022-11-15 09:57:04+00:00,1.305
2022-11-15 10:57:01+00:00,1.305
2022-11-15 11:57:02+00:00,1.305
2022-11-15 12:57:01+00:00,1.305
2022-11-15 13:57:04+00:00,1.305
2022-11-15 14:57:02+00:00,1.305
2022-11-15 15:57:05+00:00,1.305
2022-11-15 16:57:06+00:00,1.305
2022-11-15 17:57:03+00:00,1.305
2022-11-15 18:57:06+00:00,1.305
2022-11-15 19:57:02+00:00,1.305
2022-11-15 20:57:05+00:00,1.305
2022-11-15 21:57:05+00:00,1.305
2022-11-15 22:57:05+00:00,1.305
2022-11-15 23:57:04+00:00,1.305
2022-11-16 00:57:06+00:00,1.305
2022-11-16 01:57:05+00:00,1.305
2022-11-16 02:57:05+00:00,1.305
2022-11-16 03:57:05+00:00,1.305
2022-11-16 04:57:04+00:00,1.305
2022-11-16 05:57:04+00:00,1.305
2022-11-16 06:57:02+00:00,1.305
2022-11-16 07:57:04+00:00,1.305
2022-11-16 09:57:04+00:00,1.305
2022-11-16 10:57:07+00:00,1.305
2022-11-16 11:57:05+00:00,1.305
2022-11-16 12:57:06+00:00,1.305
2022-11-16 13:57:19+00:00,1.305
2022-11-16 14:57:05+00:00,1.305
2022-11-16 15:57:03+00:00,1.305
2022-11-16 16:57:06+00:00,1.305
2022-11-16 17:57:22+00:00,1.305
2022-11-16 18:57:10+00:00,1.305
2022-11-16 19:57:08+00:00,1.305
2022-11-16 20:57:05+00:00,1.305
2022-11-16 21:57:07+00:00,1.305
2022-11-16 22:57:06+00:00,1.305
2022-11-16 23:57:07+00:00,1.305
2022-11-17 00:57:08+00:00,1.305
2022-11-17 01:57:07+00:00,1.305
2022-11-17 02:57:08+00:00,1.305
2022-11-17 03:57:06+00:00,1.305
2022-11-17 04:57:08+00:00,1.305
2022-11-17 05:57:07+00:00,1.305
2022-11-17 06:57:06+00:00,1.305
2022-11-17 07:57:06+00:00,1.305
2022-11-17 08:57:08+00:00,1.305
2022-11-17 09:57:09+00:00,1.305
2022-11-17 10:57:10+00:00,1.305
2022-11-17 11:57:06+00:00,1.305
2022-11-17 12:57:17+00:00,1.305
2022-11-17 13:57:07+00:00,1.305
2022-11-17 14:57:06+00:00,1.305
2022-11-17 15:57:06+00:00,1.305
2022-11-17 16:57:11+00:00,1.305
2022-11-17 17:57:07+00:00,1.305
2022-11-17 18:57:09+00:00,1.305
2022-11-17 19:57:07+00:00,1.305
